resource_type,azure_app_name,project_name,workspace_repo_folder,mapping_status,relevant_drop1_features_colG,notes
web_app,app-aai-prod-wapp-neu-01,SC UI ServiceCenter Main,SC-UI-ServiceCenterMain,matched,"F1.2 - SC_F2_2//Display_offers | F1.3 - SC_F2_3//Select_Offer | F1.5-SC_F2_5//Display_&_Select_Ancillary | F1.7 - SC_F2_7//Fair Breakdown | F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods) | F1.10 - SC_F2_10//Passenger_Information_details_(Contact,_Name,_FF_Numbers,...) | F1.13 - SC_F2_14//Notify_Order_Confirmation | F1.19-SC_F2_4-Integrate_with_CRM_Platfom. | F1.25 - SC_F2_33//Terms_&_Conditions/_Fare_Rules__31,_33,_5,_6,_7 | F1.26 - SC_F2_34//Baggage_Policy_details | F1.98-SC_F2_New_ARD_SCUI",Web app from architecture diagram
function_app,func-aai-perf-shop-offer-neu-02,SC API shop offer,SC-API-shop-offer,matched,F1.1 - SC_F2_1//Search Criteria_Offer Search,Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-token-neu-01,N/A,N/A,not_found,,No matching repo folder in current workspace
function_app,func-aai-perf-services-neu-03,SC API Services,SC-API-Services,matched,"F1.4-SC_F2_4//Search_ancillaries | F1.5-SC_F2_5//Display_&_Select_Ancillary | F1.9 - SC_F2_9//Special_Assistance,_Free_Services",Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-seat-services-neu-04,SC API Services,SC-API-Services,assumed_shared_repo,"F1.4-SC_F2_4//Search_ancillaries | F1.5-SC_F2_5//Display_&_Select_Ancillary | F1.9 - SC_F2_9//Special_Assistance,_Free_Services",No dedicated seat-services repo folder found; mapped to services repo
function_app,func-aai-perf-seat-map-neu-05,SC API Seat Map,SC-API-Seat-Map,matched,F1.6-SC_F2_6//Ancillary__Seatmap_(Display,_Select,_View_Price,_Add_per_Paxs,..),Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-searchpanel-neu-06,SC API SearchPanel,SC-API-SearchPanel,matched,F1.1 - SC_F2_1//Search Criteria_Offer Search,Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-retrieve-order-neu-07,SC API Retrieve Order,SC-API-Retrieve-Order,matched,F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods),Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-retrieve-cart-neu-08,SC API Retrieve Cart,SC-API-Retrieve-Cart,matched,F1.3 - SC_F2_3//Select_Offer,Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-rbac-pending-neu-09,N/A,N/A,not_found,,No RBAC pending repo found; neu-09 in workspace is cancel and refund repo
function_app,func-aai-perf-payment-neu-10,SC API Payment,SC-API-Payment,matched,F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods),Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-create-cart-neu-11,SC API Create Cart,SC-API-Create-Cart,matched,F1.3 - SC_F2_3//Select_Offer,Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-checkoutupdate-neu-12,N/A,N/A,not_found,,No checkout update repo folder found in current workspace
function_app,func-aai-perf-checkoutpassengers-neu-13,SC API Checkout Passengers,SC-API-Checkout-Passengers,matched,F1.10 - SC_F2_10//Passenger_Information_details_(Contact,_Name,_FF_Numbers,...),Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-checkoutinitiate-neu-14,N/A,N/A,not_found,,No checkout initiate repo folder found in current workspace
function_app,func-aai-perf-checkoutconfirm-neu-15,SC API Checkout Confirm,SC-API-Checkout-Confirm,matched,F1.8 - SC_F2_8//Only order creation without payment (No Payment_methods),Function app name pattern matches repo pipeline naming
function_app,func-aai-perf-baggage-policies-neu-16,N/A,N/A,not_found,,No baggage policies repo folder found in current workspace
function_app,func-aai-perf-appconfigp-neu-17,SC API App Config,SC-API-App-Config,matched,F1.1 - SC_F2_1//Search Criteria_Offer Search,Function app name pattern matches repo pipeline naming
